fid,Name,GPR_sum
"210",kml_10250,"0.2"
"211",kml_10255,"0.2"
"212",kml_10260,"0.2"
"213",kml_10325,"0.2"
"214",kml_10341,"0.128571429"
"215",kml_10361,"0.128571429"
"216",kml_10442,"0.2"
"217",kml_10454,"0.2"
"218",kml_10464,"0.2"
"219",kml_10523,"0.028571429"
"220",kml_10538,"0.2"
"221",kml_10546,"0.2"
"222",kml_10652,"0.2"
"223",kml_10747,"0.085714286"
"224",kml_10754,"0.028571429"
"225",kml_10869,"0.2"
"226",kml_10870,"0.2"
"227",kml_10871,"0.2"
"228",kml_11041,"0.2"
"229",kml_11374,"0.2"
"230",kml_11902,"0.2"
"231",kml_11934,"0.2"
"232",kml_11977,"0"
"233",kml_11982,"0.228571429"
"234",kml_12079,"0.2"
"235",kml_12089,"0.2"
"236",kml_12272,"0.2"
"237",kml_12515,"0.857142857"
"238",kml_12517,"0.3"
"239",kml_12626,"0.2"
"240",kml_12980,"0.3"
"241",kml_13125,"0.2"
"242",kml_13132,"0.2"
"243",kml_13175,"0.1"
"244",kml_13267,"0.2"
"245",kml_13365,"0.157142857"
"246",kml_13366,"0.2"
"247",kml_13402,"0.2"
"248",kml_13455,"0.2"
"249",kml_13486,"0.2"
"250",kml_13550,"0.2"
"251",kml_13559,"0.2"
"252",kml_13641,"0.2"
"253",kml_13659,"0"
"254",kml_13718,"0.2"
"255",kml_13794,"0.2"
"256",kml_13873,"0.2"
"257",kml_13954,"0.2"
"258",kml_13994,"0.2"
"259",kml_14144,"0.2"
"260",kml_14145,"0.2"
"261",kml_14176,"0.2"
"262",kml_14182,"0"
"263",kml_14209,"0.2"
"264",kml_14234,"0.2"
"265",kml_14331,"0.2"
"266",kml_14367,"0.1"
"267",kml_14368,"0.2"
"268",kml_14434,"0.2"
"269",kml_14540,"0.2"
"270",kml_14623,"0"
"271",kml_14758,"0.2"
"272",kml_14770,"0.2"
"273",kml_14771,"0.2"
"274",kml_14773,"0.2"
"275",kml_14852,"0.2"
"276",kml_14932,"0.2"
"277",kml_14959,"0.1"
"278",kml_15250,"0.2"
"279",kml_15274,"0"
"280",kml_15309,"0.2"
"281",kml_15312,"0.2"
"282",kml_15314,"0.2"
"283",kml_15317,"0.157142857"
"284",kml_15368,"0"
"285",kml_15551,"0.2"
"286",kml_15608,"0.157142857"
"287",kml_15644,"0.028571429"
"288",kml_15746,"0"
"289",kml_15766,"0.028571429"
"290",kml_15815,"0.2"
"291",kml_15829,"0.2"
"292",kml_16093,"0.028571429"
"293",kml_16196,"0"
"294",kml_17049,"0.1"
"295",kml_17586,"0.228571429"
"296",kml_17649,"0.1"
"297",kml_17667,"0.2"
"298",kml_18270,"0.1"
"299",kml_18437,"0.2"
"300",kml_19309,"0.228571429"
"301",kml_19506,"0.2"
"302",kml_19518,"1"
"303",kml_20086,"0"
"304",kml_20158,"0.228571429"
"305",kml_22257,"0.228571429"
"306",kml_22542,"0.1"
"307",kml_22615,"0.2"
"308",kml_22706,"0.228571429"
"309",kml_22718,"0.2"
"310",kml_22870,"0.1"
"311",kml_22948,"0.228571429"
"312",kml_23105,"0.2"
"313",kml_23236,"0.2"
"314",kml_23287,"0.157142857"
"315",kml_23449,"0.2"
"316",kml_23526,"0.228571429"
"317",kml_23556,"0.2"
"318",kml_23557,"0.2"
"319",kml_23647,"0.228571429"
"320",kml_23663,"0.2"
"321",kml_23665,"0.2"
"322",kml_23674,"0.2"
"323",kml_23681,"0.2"
"324",kml_23786,"0.2"
"325",kml_23870,"0.228571429"
"326",kml_23903,"0.1"
"327",kml_23967,"0.228571429"
"328",kml_23985,"0.228571429"
"329",kml_24146,"0.057142857"
"330",kml_24148,"0.2"
"331",kml_24202,"0.2"
"332",kml_24266,"0.2"
"333",kml_24299,"0.2"
"334",kml_24495,"0.2"
"335",kml_24598,"0.028571429"
"336",kml_24620,"0.2"
"337",kml_24694,"0.1"
"338",kml_24695,"0.2"
"339",kml_24782,"0.2"
"340",kml_24797,"0.2"
"341",kml_24833,"0.028571429"
"342",kml_24917,"0.1"
"343",kml_24921,"0.2"
"344",kml_25036,"0.1"
"345",kml_25052,"0.2"
"346",kml_25134,"0.2"
"347",kml_25222,"0"
"348",kml_25223,"0.2"
"349",kml_25231,"0"
"350",kml_25234,"0.028571429"
"351",kml_25321,"0.2"
"352",kml_25339,"0"
"353",kml_25409,"0.1"
"354",kml_25449,"0.1"
"355",kml_25509,"0.2"
"356",kml_25604,"0.2"
"357",kml_27726,"0.1"
"358",kml_27767,"0.2"
"359",kml_27793,"0.1"
"360",kml_28140,"0.2"
"361",kml_28268,"0.2"
"362",kml_28271,"0.228571429"
"363",kml_28418,"0.1"
"364",kml_28712,"0.228571429"
"365",kml_28719,"0.2"
"366",kml_28720,"0"
"367",kml_29062,"0.228571429"
"368",kml_29065,"0.3"
"369",kml_29066,"0.228571429"
"370",kml_29067,"0.3"
"371",kml_29165,"0.2"
"372",kml_29179,"0"
"373",kml_29438,"0.2"
"374",kml_29522,"0.228571429"
"375",kml_29525,"0.228571429"
"376",kml_29885,"0.028571429"
"377",kml_29965,"0.028571429"
"378",kml_29985,"0.3"
"379",kml_30079,"0.2"
"380",kml_30138,"0.2"
"381",kml_30194,"0.2"
"382",kml_30302,"0"
"383",kml_30318,"0"
"384",kml_30428,"0.2"
"385",kml_30429,"0.2"
"386",kml_30431,"0.028571429"
"387",kml_30432,"0.028571429"
"388",kml_30601,"0.028571429"
"389",kml_31049,"0.2"
"390",kml_31160,"0.028571429"
"391",kml_31297,"0"
"392",kml_31512,"0.2"
"393",kml_31595,"0.2"
"394",kml_31598,"0.2"
"395",kml_31611,"0.228571429"
"396",kml_31618,"0.2"
"397",kml_31627,"0.085714286"
"398",kml_31637,"0.1"
"399",kml_31700,"0.414285714"
"400",kml_31885,"0.157142857"
"401",kml_31898,"0.1"
"402",kml_31998,"0.028571429"
"403",kml_32103,"0.2"
"404",kml_32108,"0.2"
"405",kml_32335,"0.2"
"406",kml_32436,"0.2"
"407",kml_32438,"0.257142857"
"408",kml_32448,"0.228571429"
"409",kml_32512,"0.028571429"
"410",kml_32529,"0.028571429"
"411",kml_32548,"0.2"
"412",kml_32554,"0.2"
"413",kml_32555,"0.157142857"
"414",kml_32754,"0.2"
"415",kml_32888,"0.371428571"
"416",kml_32890,"0.2"
"417",kml_32891,"0.2"
"418",kml_32987,"0"
"419",kml_33232,"0.2"
"420",kml_33308,"0.2"
"421",kml_33668,"0.2"
"422",kml_34074,"0.1"
"423",kml_34159,"0.2"
"424",kml_34212,"0.2"
"425",kml_34475,"0.2"
"426",kml_34485,"0.2"
"427",kml_34487,"0.1"
"428",kml_34500,"0.214285714"
"429",kml_34701,"0.1"
"430",kml_34717,"0.1"
"431",kml_34811,"0.1"
"432",kml_35238,"0"
"433",kml_35247,"0.028571429"
"434",kml_35668,"0.028571429"
"435",kml_35701,"0.1"
"436",kml_35911,"0"
"437",kml_36062,"0.228571429"
"438",kml_36189,"0"
"439",kml_36802,"0"
"440",kml_36873,"0.1"
"441",kml_37298,"0"
"442",kml_37375,"0.1"
"443",kml_37433,"0"
"444",kml_37611,"0.028571429"
"445",kml_37732,"0"
"446",kml_37776,"0.2"
"447",kml_37922,"0.1"
"448",kml_38127,"0"
"449",kml_38785,"0"
"450",kml_39070,"0"
"451",kml_39266,"0"
"452",kml_39326,"0"
"453",kml_39455,"0.1"
"454",kml_39493,"0.2"
"455",kml_39686,"0"
"456",kml_39919,"0"
"457",kml_40688,"0.028571429"
"458",kml_40764,"0.1"
"459",kml_40861,"0.1"
"460",kml_40905,"0.1"
"461",kml_41024,"0.028571429"
"462",kml_41091,"0.1"
"463",kml_41437,"0.028571429"
"464",kml_41886,"0.028571429"
"465",kml_41892,"0"
"466",kml_42105,"0"
"467",kml_42218,"0.1"
"468",kml_42774,"0"
"469",kml_42780,"0"
"470",kml_43390,"0.2"
"471",kml_43396,"0.2"
"472",kml_43495,"0.2"
"473",kml_43590,"0.228571429"
"474",kml_43591,"0.157142857"
"475",kml_43592,"0"
"476",kml_43689,"0.2"
"477",kml_43691,"0.1"
"478",kml_43697,"0.1"
"479",kml_43727,"0.4"
"480",kml_43854,"0.2"
"481",kml_43856,"0.2"
"482",kml_43863,"0.228571429"
"483",kml_43937,"0.2"
"484",kml_44054,"0.2"
"485",kml_44260,"0"
"486",kml_44263,"0"
"487",kml_44337,"0.2"
"488",kml_44412,"0.028571429"
"489",kml_44413,"0"
"490",kml_44573,"0.1"
"491",kml_44645,"0.028571429"
"492",kml_44647,"0.028571429"
"493",kml_44685,"0.2"
"494",kml_44751,"0"
"495",kml_44821,"0"
"496",kml_44822,"0.1"
"497",kml_44827,"0"
"498",kml_45048,"0.028571429"
"499",kml_45245,"0.2"
"500",kml_45330,"0.2"
"501",kml_45380,"0.028571429"
"502",kml_45415,"0.3"
"503",kml_45420,"0.1"
"504",kml_45427,"0.371428571"
"505",kml_45436,"0.1"
"506",kml_45439,"0.1"
"507",kml_45440,"0.2"
"508",kml_45506,"0.3"
"509",kml_45507,"0.1"
"510",kml_45511,"0.2"
"511",kml_45529,"0.2"
"512",kml_45602,"0.371428571"
"513",kml_45607,"0.2"
"514",kml_45697,"0.1"
"515",kml_45816,"0.2"
"516",kml_45889,"0.2"
"517",kml_45903,"0.2"
"518",kml_45913,"0"
"519",kml_46195,"0.2"
"520",kml_46324,"0.2"
"521",kml_46365,"0"
"522",kml_46493,"0.2"
"523",kml_46522,"0.2"
"524",kml_46597,"0.2"
"525",kml_47122,"0"
"526",kml_47206,"0.2"
"527",kml_47320,"0"
"528",kml_47609,"0"
"529",kml_47724,"0"
"530",kml_48052,"0"
"531",kml_48100,"0.1"
"532",kml_48991,"0.1"
"533",kml_48993,"0.371428571"
"534",kml_49291,"0.228571429"
"535",kml_49441,"0.2"
"536",kml_49617,"0.228571429"
"537",kml_49801,"0.2"
"538",kml_49823,"0.2"
"539",kml_49968,"0.2"
"540",kml_49982,"0.2"
"541",kml_49990,"0.228571429"
"542",kml_49991,"0.2"
"543",kml_49995,"0.2"
"544",kml_50083,"0.2"
"545",kml_50090,"0.2"
"546",kml_50179,"0.2"
"547",kml_50182,"0.2"
"548",kml_50183,"0.228571429"
"549",kml_50193,"0"
"550",kml_50195,"0"
"551",kml_50198,"0"
"552",kml_50203,"0"
"553",kml_50205,"0"
"554",kml_50266,"0.228571429"
"555",kml_50274,"0.2"
"556",kml_50348,"0.1"
"557",kml_50363,"0.2"
"558",kml_50369,"0.228571429"
"559",kml_50372,"0.228571429"
"560",kml_50376,"0.2"
"561",kml_50379,"0.1"
"562",kml_50391,"0.1"
"563",kml_50396,"0.1"
"564",kml_50420,"0.2"
"565",kml_50543,"0.2"
"566",kml_50552,"0.3"
"567",kml_50567,"0.028571429"
"568",kml_50593,"0.1"
"569",kml_50594,"0.2"
"570",kml_50831,"0.1"
"571",kml_50832,"0.1"
"572",kml_50833,"0.1"
"573",kml_50855,"0.228571429"
"574",kml_50858,"0.2"
"575",kml_50946,"0.2"
"576",kml_50950,"0.228571429"
"577",kml_50956,"0.257142857"
"578",kml_51070,"0"
"579",kml_51082,"0.1"
"580",kml_51103,"0.228571429"
"581",kml_51104,"0.228571429"
"582",kml_51119,"0.2"
"583",kml_51184,"0.028571429"
"584",kml_51190,"0"
"585",kml_51192,"0"
"586",kml_51197,"0.157142857"
"587",kml_51201,"0.2"
"588",kml_51235,"0"
"589",kml_51274,"0.257142857"
"590",kml_51292,"0.2"
"591",kml_51296,"0.2"
"592",kml_51327,"0"
"593",kml_51362,"0.228571429"
"594",kml_51384,"0.228571429"
"595",kml_51385,"0.3"
"596",kml_51495,"0.3"
"597",kml_51991,"0.2"
"598",kml_52133,"0.228571429"
"599",kml_52817,"0"
"600",kml_52906,"0.2"
"601",kml_52979,"0.228571429"
"602",kml_53072,"0.228571429"
"603",kml_53126,"0.228571429"
"604",kml_53242,"0.3"
"605",kml_53245,"0.3"
"606",kml_53322,"0.3"
"607",kml_53911,"0.228571429"
"608",kml_53998,"0.2"
"609",kml_54002,"0.228571429"
"610",kml_54099,"0.4"
"611",kml_54450,"0.1"
"612",kml_54546,"0.1"
"613",kml_54549,"0.2"
"614",kml_54646,"0.157142857"
"615",kml_54655,"0.2"
"616",kml_55642,"0.2"
"617",kml_55798,"0"
"618",kml_55882,"0"
"619",kml_55994,"0.2"
"620",kml_55995,"0.2"
"621",kml_56122,"0"
"622",kml_56232,"0.1"
"623",kml_56239,"0.228571429"
"624",kml_56243,"0.228571429"
"625",kml_56344,"0.228571429"
"626",kml_56937,"0.2"
"627",kml_56981,"0.2"
"628",kml_57284,"0"
"629",kml_58191,"0.2"
"630",kml_58556,"0"
"631",kml_58558,"0.2"
"632",kml_58709,"0.2"
"633",kml_58960,"0.2"
"634",kml_59055,"0.2"
"635",kml_59056,"0.1"
"636",kml_59057,"0.2"
"637",kml_59059,"0.1"
"638",kml_59061,"0.2"
"639",kml_59391,"0"
"640",kml_59515,"0.1"
"641",kml_59895,"0.2"
"642",kml_59997,"0.2"
"643",kml_60558,"0"
"644",kml_60635,"0.3"
"645",kml_60692,"0.2"
"646",kml_60730,"0.2"
"647",kml_60946,"0.2"
"648",kml_61024,"0.2"
"649",kml_61255,"0.228571429"
"650",kml_61256,"0.2"
"651",kml_61356,"0.128571429"
"652",kml_61358,"0.2"
"653",kml_61432,"0.228571429"
"654",kml_61524,"0.1"
"655",kml_61663,"0.2"
"656",kml_61734,"0.2"
"657",kml_61747,"0.228571429"
"658",kml_61750,"0.3"
"659",kml_61753,"0.2"
"660",kml_61756,"0.3"
"661",kml_61835,"0.3"
"662",kml_61840,"0.2"
"663",kml_61841,"0.228571429"
"664",kml_61926,"0.228571429"
"665",kml_62038,"0.2"
"666",kml_62040,"0.2"
"667",kml_62065,"0.3"
"668",kml_62080,"0.2"
"669",kml_62083,"0.2"
"670",kml_62193,"0.2"
"671",kml_62218,"0.2"
"672",kml_62512,"0.3"
"673",kml_62730,"0"
"674",kml_62858,"0.2"
"675",kml_63050,"0.2"
"676",kml_63075,"0.2"
"677",kml_63190,"0.2"
"678",kml_63535,"0.2"
"679",kml_63872,"0.157142857"
"680",kml_64362,"0.2"
"681",kml_64494,"0.228571429"
"682",kml_64522,"0.2"
"683",kml_64538,"0.228571429"
"684",kml_64545,"0.2"
"685",kml_64602,"0"
"686",kml_64608,"0.071428571"
"687",kml_64612,"0.085714286"
"688",kml_64658,"0.4"
"689",kml_64671,"0.2"
"690",kml_64674,"0.2"
"691",kml_64676,"0.228571429"
"692",kml_64682,"0.471428571"
"693",kml_64718,"0.2"
"694",kml_64763,"0.2"
"695",kml_64783,"0"
"696",kml_65104,"0.2"
"697",kml_65130,"0.2"
"698",kml_65169,"0.2"
"699",kml_65177,"0.257142857"
"700",kml_65182,"0.228571429"
"701",kml_65206,"0.2"
"702",kml_65305,"0.2"
"703",kml_65340,"0.3"
"704",kml_65356,"0.2"
"705",kml_65413,"0.3"
"706",kml_65441,"0.2"
"707",kml_65510,"0.2"
"708",kml_65861,"0.2"
"709",kml_65949,"0.2"
"710",kml_65961,"0.2"
"711",kml_66997,"0.2"
"712",kml_66998,"0.271428571"
"713",kml_67352,"0.1"
"714",kml_67943,"0.2"
"715",kml_67946,"0.2"
"716",kml_67954,"0.157142857"
"717",kml_68409,"0.157142857"
"718",kml_68660,"0.2"
"719",kml_68701,"0.1"
"720",kml_69188,"0.157142857"
"721",kml_69309,"0"
"722",kml_69446,"0.071428571"
"723",kml_69452,"0.071428571"
"724",kml_69457,"0"
"725",kml_69615,"0.2"
"726",kml_69781,"0.2"
"727",kml_70275,"0.228571429"
"728",kml_70330,"0.157142857"
"729",kml_70434,"0.157142857"
"730",kml_70455,"0"
"731",kml_70819,"0.3"
"732",kml_70935,"0.3"
"733",kml_71204,"0.2"
"734",kml_71346,"0.1"
"735",kml_71420,"0"
"736",kml_71518,"0.157142857"
"737",kml_71694,"0"
"738",kml_72067,"0"
"739",kml_72133,"0.2"
"740",kml_72523,"0.157142857"
"741",kml_72881,"0.157142857"
"742",kml_72973,"0"
"743",kml_73163,"0.157142857"
"744",kml_73381,"0.1"
"745",kml_73390,"0"
"746",kml_73394,"0"
"747",kml_73960,"0.157142857"
"748",kml_74060,"0.2"
"749",kml_74504,"0.2"
"750",kml_74511,"0.157142857"
"751",kml_74512,"0.157142857"
"752",kml_74971,"0.157142857"
"753",kml_75024,"0"
"754",kml_75082,"0.3"
"755",kml_75087,"0"
"756",kml_75088,"0"
"757",kml_75175,"0.2"
"758",kml_75184,"0.2"
"759",kml_75185,"0.2"
"760",kml_75212,"0.2"
"761",kml_75543,"0.1"
"762",kml_75606,"0.4"
"763",kml_75615,"0.2"
"764",kml_75674,"0.342857143"
"765",kml_75770,"0.228571429"
"766",kml_75774,"0.228571429"
"767",kml_75851,"0.371428571"
"768",kml_75958,"0.2"
"769",kml_75964,"0.2"
"770",kml_76006,"0.3"
"771",kml_76024,"0.2"
"772",kml_76057,"0.2"
"773",kml_76066,"0.442857143"
"774",kml_76093,"0.1"
"775",kml_76096,"0.228571429"
"776",kml_76137,"0.2"
"777",kml_76142,"0.228571429"
"778",kml_76163,"0.5"
"779",kml_76202,"0.2"
"780",kml_76282,"0.2"
"781",kml_76334,"0.2"
"782",kml_76402,"0"
"783",kml_76757,"0.157142857"
"784",kml_76874,"0.228571429"
"785",kml_76964,"0.157142857"
"786",kml_77079,"0.3"
"787",kml_77095,"0.2"
"788",kml_77290,"0"
"789",kml_77292,"0.228571429"
"790",kml_77610,"0.157142857"
"791",kml_77756,"0.157142857"
"792",kml_78082,"0.1"
"793",kml_78089,"0"
"794",kml_78202,"0"
"795",kml_78280,"0.028571429"
"796",kml_78321,"0.2"
"797",kml_78326,"0.228571429"
"798",kml_78420,"0.1"
"799",kml_78525,"0.228571429"
"800",kml_78549,"0.042857143"
"801",kml_78580,"0.2"
"802",kml_78614,"0.2"
"803",kml_78659,"0.1"
"804",kml_78674,"0.228571429"
"805",kml_78677,"0.1"
"806",kml_78791,"0.2"
"807",kml_78876,"0.2"
"808",kml_78878,"0.2"
"809",kml_78882,"0.228571429"
"810",kml_78884,"0.071428571"
"811",kml_78990,"0.3"
"812",kml_78995,"0.3"
"813",kml_78997,"0.3"
"814",kml_79091,"0.2"
"815",kml_79096,"0"
"816",kml_79097,"0"
"817",kml_79205,"0.2"
"818",kml_79334,"0.1"
"819",kml_79430,"0.2"
"820",kml_79437,"0"
"821",kml_79512,"0.3"
"822",kml_79517,"0"
"823",kml_79559,"0.228571429"
"824",kml_79568,"0.228571429"
"825",kml_79577,"0.371428571"
"826",kml_79675,"0.3"
"827",kml_79679,"0.228571429"
"828",kml_79775,"0.228571429"
"829",kml_79932,"0.2"
"830",kml_80024,"0.2"
"831",kml_80047,"0"
"832",kml_80145,"0"
"833",kml_80309,"0.3"
"834",kml_80418,"0.2"
"835",kml_80524,"0.4"
"836",kml_81105,"0.2"
"837",kml_81114,"0.228571429"
"838",kml_81220,"0"
"839",kml_81527,"0.2"
"840",kml_81561,"0.2"
"841",kml_81617,"0"
"842",kml_81638,"0.228571429"
"843",kml_81643,"0.2"
"844",kml_81702,"0.2"
"845",kml_81717,"0.4"
"846",kml_81725,"0.228571429"
"847",kml_81775,"0.1"
"848",kml_81796,"0.1"
"849",kml_81904,"0.2"
"850",kml_82076,"0.2"
"851",kml_82273,"0.2"
"852",kml_82277,"0.2"
"853",kml_82351,"0.2"
"854",kml_82416,"0.2"
"855",kml_82419,"0.5"
"856",kml_82424,"0.2"
"857",kml_82491,"0.228571429"
"858",kml_82502,"0.3"
"859",kml_82593,"0"
"860",kml_82680,"0.2"
"861",kml_82681,"0.2"
"862",kml_82682,"0.2"
"863",kml_82691,"0.2"
"864",kml_82717,"0.1"
"865",kml_82767,"0.271428571"
"866",kml_82836,"0.2"
"867",kml_82849,"0.2"
"868",kml_82850,"0.2"
"869",kml_82922,"0.1"
"870",kml_82994,"0.228571429"
"871",kml_83000,"0.3"
"872",kml_83005,"0.2"
"873",kml_83020,"0"
"874",kml_83026,"0.2"
"875",kml_83070,"0.228571429"
"876",kml_83076,"0.2"
"877",kml_83112,"0.2"
"878",kml_83114,"0.3"
"879",kml_83116,"0.2"
"880",kml_83119,"0.2"
"881",kml_83130,"0.3"
"882",kml_83135,"0.2"
"883",kml_83152,"0.1"
"884",kml_83153,"0.1"
"885",kml_83155,"0.2"
"886",kml_83158,"0.228571429"
"887",kml_83160,"0.1"
"888",kml_83166,"0.228571429"
"889",kml_83211,"0.228571429"
"890",kml_83219,"0.2"
"891",kml_83224,"0.1"
"892",kml_83231,"0.228571429"
"893",kml_83361,"0.2"
"894",kml_83365,"0.228571429"
"895",kml_83374,"0.228571429"
"896",kml_83412,"0.2"
"897",kml_83430,"0.228571429"
"898",kml_83459,"0.2"
"899",kml_83462,"0.2"
"900",kml_83471,"0.2"
"901",kml_83474,"0.2"
"902",kml_83475,"0.2"
"903",kml_83476,"0.257142857"
"904",kml_83499,"0.328571429"
"905",kml_83500,"0.228571429"
"906",kml_83502,"0.228571429"
"907",kml_83557,"0.157142857"
"908",kml_83605,"0.2"
"909",kml_83611,"0.2"
"910",kml_83616,"0.3"
"911",kml_83630,"0.228571429"
"912",kml_83631,"0.228571429"
"913",kml_83634,"0.228571429"
"914",kml_83701,"0.2"
"915",kml_83702,"0.2"
"916",kml_83721,"0"
